Requestor GPN,EmployeeStatusDesc,Country,Designation,Badge Type,Badge Status,Domain,Sub Domain,Key-Badge_SD,Badge Classification,Badge earned,Department,Initiate a badge date,Time Lapse
GPN 1,Terminated,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/26/2020,SL 26,5/30/2018,666
GPN 10,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/30/2020,SL 26,1/6/2020,176
GPN 100,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,1/27/2020,SL 20,1/10/2020,17
GPN 1000,Active,Country 3,Rank 1,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/15/2019,SL 7,4/4/2019,41
GPN 10000,Active,Country 1,Rank 15,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/26/2020,SL 13,12/11/2019,198
GPN 10001,Terminated,Country 4,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/24/2018,SL 20,4/24/2018,0
GPN 10002,Terminated,Country 4,Rank 9,Silver,Approved,Emerging Technology,Robotic process automation,Robotic process automationSilver,TECHNOLOGY,6/6/2018,SL 20,4/24/2018,43
GPN 10003,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,11/21/2019,SL 26,11/12/2019,9
GPN 10004,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/27/2019,SL 20,12/3/2018,175
GPN 10005,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,4/28/2020,SL 20,4/13/2020,15
GPN 10006,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,8/7/2019,SL 15,8/6/2019,1
GPN 10007,Active,Country 3,Rank 9,Bronze,Approved,Sector,WAM - Financial products,WAM - Financial productsBronze,BUSINESS,4/13/2020,SL 20,11/18/2019,147
GPN 10008,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,2/19/2020,SL 26,2/26/2019,358
GPN 10009,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,3/23/2020,SL 20,1/21/2020,62
GPN 1001,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/3/2019,SL 20,4/11/2019,22
GPN 10010,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/30/2020,SL 20,11/21/2019,130
GPN 10011,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/31/2020,SL 15,11/26/2019,66
GPN 10012,Active,Country 3,Rank 1,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/14/2020,SL 15,4/30/2020,14
GPN 10013,Active,Country 3,Rank 8,Bronze,Approved,Sector,WAM - Wealth management,WAM - Wealth managementBronze,BUSINESS,2/3/2020,SL 20,11/18/2019,77
GPN 10014,Active,Country 3,Rank 13,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/27/2020,SL 17,5/28/2019,304
GPN 10015,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/30/2019,SL 20,1/10/2019,110
GPN 10016,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/24/2020,SL 20,5/7/2019,353
GPN 10017,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/4/2020,SL 20,12/6/2019,150
GPN 10018,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/28/2020,SL 20,4/21/2020,7
GPN 10019,Active,Country 3,Rank 8,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/13/2020,SL 20,4/29/2020,14
GPN 1002,Active,Country 3,Rank 9,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,2/12/2020,SL 20,1/17/2020,26
GPN 10020,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/23/2020,SL 9,3/23/2020,0
